Job Title,Required Skills,Min Experience,Location,Project Area
Data Scientist,"Python, SQL, Machine Learning, Pandas, Scikit-learn",3,ANY,Analytics
Senior Backend Engineer,"Python, Django, AWS, PostgreSQL, Redis",5,Mumbai,Backend
Full-stack Engineer,"JavaScript, React, Python, Django, Node.js",4,ANY,Platform
Project Manager,"Planning, Leadership, Budgeting, Agile, Scrum",4,ANY,Management
Senior Data Analyst,"SQL, Excel, Tableau, Power BI, Data Wrangling",4,ANY,BI
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux",4,Bangalore,Infrastructure
AI/ML Engineer,"Python, TensorFlow, PyTorch, ML, Deep Learning",3,Delhi,AI/ML
Cloud Architect,"AWS, Azure, GCP, DevOps, Security",6,ANY,Cloud
Cybersecurity Analyst,"Network Security, Firewalls, Risk Management, Python",3,ANY,Security
Business Analyst,"SQL, Excel, Communication, Requirement Gathering",2,Pune,BI